"video_shortname","Function_name",execution_count,exec_time_avg
"Test01_Talking_Head_D02.mp4","calc_RAPIQUE_features",1,1.072969e+02
"Test01_Talking_Head_D02.mp4","calc_RAPIQUE_features/deep_learning",17,1.568934e+00
"Test01_Talking_Head_D02.mp4","calc_RAPIQUE_features/temporal NSS",17,1.435662e+00
"Test01_Talking_Head_D02.mp4","clipValue",51,1.562500e-02
"Test01_Talking_Head_D02.mp4","convertRGBToHSI",0,NaN
"Test01_Talking_Head_D02.mp4","convertRGBToLAB",34,2.743566e-01
"Test01_Talking_Head_D02.mp4","convertRGBToLMS",0,NaN
"Test01_Talking_Head_D02.mp4","convertRGBToYuv",0,NaN
"Test01_Talking_Head_D02.mp4","convertYuvToRgb",51,2.879902e-02
"Test01_Talking_Head_D02.mp4","gauDerivative",170,2.757353e-04
"Test01_Talking_Head_D02.mp4","loadFileYuv",0,NaN
"Test01_Talking_Head_D02.mp4","progressbar",1,8.125000e-01
"Test01_Talking_Head_D02.mp4","rapique_basic_extractor",918,5.048339e-02
"Test01_Talking_Head_D02.mp4","RAPIQUE_spatial_features",34,1.537684e+00
"Test01_Talking_Head_D02.mp4","saveFileYuv",0,NaN
"Test01_Traffic_D07.mp4","calc_RAPIQUE_features",1,1.028125e+02
"Test01_Traffic_D07.mp4","calc_RAPIQUE_features/deep_learning",22,5.639205e-01
"Test01_Traffic_D07.mp4","calc_RAPIQUE_features/temporal NSS",22,1.237926e+00
"Test01_Traffic_D07.mp4","clipValue",66,1.373106e-02
"Test01_Traffic_D07.mp4","convertRGBToHSI",0,NaN
"Test01_Traffic_D07.mp4","convertRGBToLAB",44,2.613636e-01
"Test01_Traffic_D07.mp4","convertRGBToLMS",0,NaN
"Test01_Traffic_D07.mp4","convertRGBToYuv",0,NaN
"Test01_Traffic_D07.mp4","convertYuvToRgb",66,2.296402e-02
"Test01_Traffic_D07.mp4","gauDerivative",220,7.102273e-05
"Test01_Traffic_D07.mp4","loadFileYuv",0,NaN
"Test01_Traffic_D07.mp4","progressbar",1,0
"Test01_Traffic_D07.mp4","rapique_basic_extractor",1188,4.456019e-02
"Test01_Traffic_D07.mp4","RAPIQUE_spatial_features",44,1.350852e+00
"Test01_Traffic_D07.mp4","saveFileYuv",0,NaN
"Test02_City_D10.mp4","calc_RAPIQUE_features",1,7.484375e+01
"Test02_City_D10.mp4","calc_RAPIQUE_features/deep_learning",17,4.981618e-01
"Test02_City_D10.mp4","calc_RAPIQUE_features/temporal NSS",17,1.172794e+00
"Test02_City_D10.mp4","clipValue",51,1.409314e-02
"Test02_City_D10.mp4","convertRGBToHSI",0,NaN
"Test02_City_D10.mp4","convertRGBToLAB",34,2.591912e-01
"Test02_City_D10.mp4","convertRGBToLMS",0,NaN
"Test02_City_D10.mp4","convertRGBToYuv",0,NaN
"Test02_City_D10.mp4","convertYuvToRgb",51,2.144608e-02
"Test02_City_D10.mp4","gauDerivative",170,1.838235e-04
"Test02_City_D10.mp4","loadFileYuv",0,NaN
"Test02_City_D10.mp4","progressbar",1,0
"Test02_City_D10.mp4","rapique_basic_extractor",918,4.265387e-02
"Test02_City_D10.mp4","RAPIQUE_spatial_features",34,1.285846e+00
"Test02_City_D10.mp4","saveFileYuv",0,NaN
"Test02_Traffic_D08.mp4","calc_RAPIQUE_features",1,1.191719e+02
"Test02_Traffic_D08.mp4","calc_RAPIQUE_features/deep_learning",26,5.643029e-01
"Test02_Traffic_D08.mp4","calc_RAPIQUE_features/temporal NSS",26,1.259014e+00
"Test02_Traffic_D08.mp4","clipValue",78,1.382212e-02
"Test02_Traffic_D08.mp4","convertRGBToHSI",0,NaN
"Test02_Traffic_D08.mp4","convertRGBToLAB",52,2.590144e-01
"Test02_Traffic_D08.mp4","convertRGBToLMS",0,NaN
"Test02_Traffic_D08.mp4","convertRGBToYuv",0,NaN
"Test02_Traffic_D08.mp4","convertYuvToRgb",78,2.403846e-02
"Test02_Traffic_D08.mp4","gauDerivative",260,1.802885e-04
"Test02_Traffic_D08.mp4","loadFileYuv",0,NaN
"Test02_Traffic_D08.mp4","progressbar",1,1.562500e-02
"Test02_Traffic_D08.mp4","rapique_basic_extractor",1404,4.349181e-02
"Test02_Traffic_D08.mp4","RAPIQUE_spatial_features",52,1.291166e+00
"Test02_Traffic_D08.mp4","saveFileYuv",0,NaN
"Test04_City_D12.mp4","calc_RAPIQUE_features",1,9.445312e+01
"Test04_City_D12.mp4","calc_RAPIQUE_features/deep_learning",15,4.218750e-01
"Test04_City_D12.mp4","calc_RAPIQUE_features/temporal NSS",15,1.571875e+00
"Test04_City_D12.mp4","clipValue",45,3.090278e-02
"Test04_City_D12.mp4","convertRGBToHSI",0,NaN
"Test04_City_D12.mp4","convertRGBToLAB",30,3.921875e-01
"Test04_City_D12.mp4","convertRGBToLMS",0,NaN
"Test04_City_D12.mp4","convertRGBToYuv",0,NaN
"Test04_City_D12.mp4","convertYuvToRgb",45,6.909722e-02
"Test04_City_D12.mp4","gauDerivative",150,1.041667e-04
"Test04_City_D12.mp4","loadFileYuv",0,NaN
"Test04_City_D12.mp4","progressbar",1,3.125000e-02
"Test04_City_D12.mp4","rapique_basic_extractor",810,5.075231e-02
"Test04_City_D12.mp4","RAPIQUE_spatial_features",30,1.904688e+00
"Test04_City_D12.mp4","saveFileYuv",0,NaN
"Test04_Talking_Head_D04.mp4","calc_RAPIQUE_features",1,9.601562e+01
"Test04_Talking_Head_D04.mp4","calc_RAPIQUE_features/deep_learning",15,4.812500e-01
"Test04_Talking_Head_D04.mp4","calc_RAPIQUE_features/temporal NSS",15,1.471875e+00
"Test04_Talking_Head_D04.mp4","clipValue",45,3.020833e-02
"Test04_Talking_Head_D04.mp4","convertRGBToHSI",0,NaN
"Test04_Talking_Head_D04.mp4","convertRGBToLAB",30,3.755208e-01
