flickr_id,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
0723_ManUnderTree_GS5_03_20150723_130016,52.56657,1920,1080,0,30,0,0,0
0723_ManUnderTree_GS6_03_20150723_130100,57.28881,1920,1080,0,30,0,0,0
0723_ManUnderTree_HTCOneVx_03_VIDEO0006,36.70929,1920,1080,0,30,0,0,0
0723_ManUnderTree_Nokia1020_03_WP_20130426_22_12_02_Pro,45.67874,1920,1080,0,30,0,0,0
0911nightScene_1020_WindowsPhone_20130305_21_59_44_Pro,21.18737,1920,1080,0,30,0,0,0
0911nightScene_5s_IMG_0160,35.72522,1920,1080,0,30,0,0,0
0911nightScene_gs5_20150911_194737,32.27546,1920,1080,0,30,0,0,0
0911nightScene_note4_20150911_193809,36.54672,1920,1080,0,30,0,0,0
0918_AxelFetchesBall_GS6_20150919_090332,58.23142,1920,1080,0,30,0,0,0
0918_AxelFetchesBall_HTCOneVX_VIDEO0056,42.6288,1920,1080,0,30,0,0,0
0918_AxelFetchesBall_LGG2_CAM00802,52.89166,1920,1080,0,30,0,0,0
0918_AxelFetchesBall_OppoFind7_VID20150407042625,56.4703,1920,1080,0,30,0,0,0
0918_DogsOnBeach_GS6_20150919_085853,65.94234,1920,1080,0,30,0,0,0
0918_DogsOnBeach_HTCOneVX_VIDEO0055,50.3785,1920,1080,0,30,0,0,0
0918_DogsOnBeach_LGG2_CAM00801,60.01452,1920,1080,0,30,0,0,0
0918_DogsOnBeach_OppoFind7_VID20150407042141,61.24972,1920,1080,0,30,0,0,0
0923_ChattingOverLunch_G2_CAM00813,45.67856,1920,1080,0,30,0,0,0
0923_ChattingOverLunch_GS6_20150923_122025,60.43118,1920,1080,0,30,0,0,0
0923_ChattingOverLunch_HTCOneVx_VIDEO0066,31.49041,1920,1080,0,30,0,0,0
0923_ChattingOverLunch_Oppo_VID20150411074312,52.43694,1920,1080,0,30,0,0,0
1006_DucksAndFish2_GS6_20151006_161642,51.03938,1920,1080,0,30,0,0,0
1006_DucksAndFish2_HTCOneVX_VIDEO0093,31.43526,1920,1080,0,30,0,0,0
1006_DucksAndFish2_LGG2_CAM00841,61.63231,1920,1080,0,30,0,0,0
1006_DucksAndFish2_OppoFind7_VID20150424113906,21.40385,1920,1080,0,30,0,0,0
1006_FollowTheTrain_GS6_20151006_155539,47.30873,1920,1080,0,30,0,0,0
1006_FollowTheTrain_HTCOneVX_VIDEO0086,27.48643,1920,1080,0,30,0,0,0
1006_FollowTheTrain_LGG2_CAM00834,33.93942,1920,1080,0,30,0,0,0
1006_FollowTheTrain_OppoFind7_VID20150424111801,48.7313,1920,1080,0,30,0,0,0
1006_PlaneLandsAfar2_GS6_20151006_170428,54.47173,1920,1080,0,30,0,0,0
1006_PlaneLandsAfar2_HTCOneVX_VIDEO0099,43.13951,1920,1080,0,30,0,0,0
1006_PlaneLandsAfar2_LGG2_CAM00847,43.78728,1920,1080,0,30,0,0,0
1006_PlaneLandsAfar2_OppoFind7_VID20150424122651,57.22289,1920,1080,0,30,0,0,0
1019_ColorfulKites2_GS6_20151020_140327,69.34239,1920,1080,0,30,0,0,0
1019_ColorfulKites2_HTCOneVX_VIDEO0124,45.61583,1920,1080,0,30,0,0,0
1019_ColorfulKites2_LGG2_CAM00872,63.17109,1920,1080,0,30,0,0,0
1019_ColorfulKites2_OppoFind7_VID20150508092524,50.97311,1920,1080,0,30,0,0,0
0912_CheerLeader1_Nokia1080_20130306_17_46_21_Pro,41.52934,1920,1080,0,30,0,0,0
0912_Cheerleader1_GS5_20150912_153429,51.08417,1920,1080,0,30,0,0,0
0912_Cheerleader1_Note4_20150912_152444,46.85328,1920,1080,0,30,0,0,0
0912_Cheerleader1_iphone_IMG_0184,59.46973,1920,1080,0,30,0,0,0
0913playSand_GS5_20150913_183702,58.51618,1920,1080,0,30,0,0,0
0913playSand_Note4_20150913_182713,54.20214,1920,1080,0,30,0,0,0
0913playSand_iPhone5s_IMG_0251,72.96616,1920,1080,0,30,0,0,0
0918_CyclistsNear1_GS6_20150919_081325,52.81501,1920,1080,0,30,0,0,0
0918_CyclistsNear1_HTCOneVX_VIDEO0050,43.90725,1920,1080,0,30,0,0,0
0918_CyclistsNear1_LGG2_CAM00795,46.75311,1920,1080,0,30,0,0,0
0918_CyclistsNear1_OppoFind7_VID20150407033615,50.22621,1920,1080,0,30,0,0,0
0918_DelMarView_GS6_20150921_071851,57.24962,1920,1080,0,30,0,0,0
0918_DelMarView_HTCOneVX_VIDEO0062,45.79645,1920,1080,0,30,0,0,0
0918_DelMarView_LGG2_CAM00809,48.74088,1920,1080,0,30,0,0,0
0918_DelMarView_OppoFind7_VID20150409024137,60.96343,1920,1080,0,30,0,0,0
0923_RiverBed_GS5_20150925_165808,61.69082,1920,1080,0,30,0,0,0
0923_RiverBed_Nokia1020_WP_20130305_20_19_29_Pro,66.39664,1920,1080,0,30,0,0,0
0923_RiverBed_Note4_20150925_164759,64.23939,1920,1080,0,30,0,0,0
0923_RiverBed_iphone5_IMG_0280,63.16961,1920,1080,0,30,0,0,0
1006_EmergencyScene_GS6_20151006_160038,58.33545,1920,1080,0,30,0,0,0
1006_EmergencyScene_HTCOneVX_VIDEO0090,42.55847,1920,1080,0,30,0,0,0
1006_EmergencyScene_LGG2_CAM00838,66.86797,1920,1080,0,30,0,0,0
1006_EmergencyScene_OppoFind7_VID20150424112300,62.01071,1920,1080,0,30,0,0,0
1006_FamilyScooter_GS6_20151006_170632,60.28465,1920,1080,0,30,0,0,0
1006_FamilyScooter_HTCOneVX_VIDEO0101,38.81062,1920,1080,0,30,0,0,0
1006_FamilyScooter_LGG2_CAM00849,49.68893,1920,1080,0,30,0,0,0
1006_FamilyScooter_OppoFind7_VID20150424122855,51.17308,1920,1080,0,30,0,0,0
1019_FlyingKite3_GS6_20151020_141052,73.64276,1920,1080,0,30,0,0,0
1019_FlyingKite3_HTCOneVX_VIDEO0129,49.33732,1920,1080,0,30,0,0,0
1019_FlyingKite3_LGG2_CAM00877,55.74782,1920,1080,0,30,0,0,0
1019_FlyingKite3_OppoFind7_VID20150508093248,56.46154,1920,1080,0,30,0,0,0
1024_BadmintonAtBalboa_GS6_20151024_104414,56.58936,1920,1080,0,30,0,0,0
1024_BadmintonAtBalboa_HTCOneVx_VIDEO0139,38.49669,1920,1080,0,30,0,0,0
1024_BadmintonAtBalboa_LGG2_CAM00888,52.36948,1920,1080,0,30,0,0,0
1024_BadmintonAtBalboa_OppoFined7_VID20150512060558,56.55278,1920,1080,0,30,0,0,0
0817_WalkIntoBarn_LGG2_CAM00718,51.14687,1920,1080,0,30,0,0,0
0817_WalkIntoBarn_Note4_20150817_110508,58.07943,1920,1080,0,30,0,0,0
0817_WalkIntoBarn_OppoFind7_VID20150718144333,49.02406,1920,1080,0,30,0,0,0
0817_WalkIntoBarn_iPhone5_IMG_0410,39.51677,1920,1080,0,30,0,0,0
0911_DogBall_GS6_20150911_185459,65.10543,1920,1080,0,30,0,0,0
0911_DogBall_HTCOneVx_VIDEO0045,49.71235,1920,1080,0,30,0,0,0
0911_DogBall_LGG2_CAM00791,46.17375,1920,1080,0,30,0,0,0
0911_DogBall_OppoFind7_VID20150330141759,66.94118,1920,1080,0,30,0,0,0
0911panGarden_Gs5_20150911_153348,30.91036,1920,1080,0,30,0,0,0
0911panGarden_Lumia1020_WindowsPhone_20130330_23_52_26_Pro,61.25422,1920,1080,0,30,0,0,0
0911panGarden_Note4_20150911_152420,44.69628,1920,1080,0,30,0,0,0
0911panGarden_iPhone5s_IMG_0132,56.68921,1920,1080,0,30,0,0,0
0911skateBoard_1020_WindowsPhone_20130305_19_55_21_Pro,55.1313,1920,1080,0,30,0,0,0
0911skateBoard_5s_IMG_0151,66.17622,1920,1080,0,30,0,0,0
0911skateBoard_gs5_20150911_174325,49.66995,1920,1080,0,30,0,0,0
0911skateBoard_note4_20150911_173356,61.56026,1920,1080,0,30,0,0,0
0912_Burgers_GS5_20150912_145544,63.47587,1920,1080,0,30,0,0,0
0912_Burgers_Nokia1020_20130306_17_07_38_Pro,64.93964,1920,1080,0,30,0,0,0
0912_Burgers_Note4_20150912_144558,61.9832,1920,1080,0,30,0,0,0
0912_Burgers_iphone5s_IMG_0167,64.38345,1920,1080,0,30,0,0,0
0923_FollowTheBee_GS6_20150923_131355,51.45086,1920,1080,0,30,0,0,0
0923_FollowTheBee_HTCOneVx_VIDEO0072,33.0444,1920,1080,0,30,0,0,0
1019_TrafficFromAfar_GS6_20151017_173401,60.08891,1920,1080,0,30,0,0,0
1019_TrafficFromAfar_HTCOneVX_VIDEO0102,38.67626,1920,1080,0,30,0,0,0
1019_TrafficFromAfar_LGG2_CAM00850,43.92076,1920,1080,0,30,0,0,0
1019_TrafficFromAfar_OppoFind7_VID20150505125608,43.74672,1920,1080,0,30,0,0,0
1019_ViewFromMetro2_GS6_20151020_133722,39.88245,1920,1080,0,30,0,0,0
1019_ViewFromMetro2_HTCOneVX_VIDEO0122,31.44886,1920,1080,0,30,0,0,0
1019_ViewFromMetro2_LGG2_CAM00870,37.58488,1920,1080,0,30,0,0,0
1019_ViewFromMetro2_OppoFind7_VID20150508085916,36.18976,1920,1080,0,30,0,0,0
1022_QCOMSoccer2_GS6_20151022_174002,44.36166,1920,1080,0,30,0,0,0
1022_QCOMSoccer2_HTCOneVx_VIDEO0137,29.11685,1920,1080,0,30,0,0,0
1022_QCOMSoccer2_LGG2_CAM00886,26.39562,1920,1080,0,30,0,0,0
1022_QCOMSoccer2_OppoFind7_VID20150510130154,45.88425,1920,1080,0,30,0,0,0
0723_OldTownShop_GS5_12_20150723_133424,51.6556,1920,1080,0,30,0,0,0
0723_OldTownShop_GS6_12_20150723_133507,64.99176,1920,1080,0,30,0,0,0
0723_OldTownShop_HTCOneVx_12_VIDEO0019,30.53679,1920,1080,0,30,0,0,0
0723_OldTownShop_Nokia1020_12_WP_20130426_22_46_05_Pro,52.96925,1920,1080,0,30,0,0,0
0911driving_5s_IMG_0145,44.95866,1920,1080,0,30,0,0,0
0911driving_gs5_20150911_170903,52.63897,1920,1080,0,30,0,0,0
0911driving_note4_20150911_165933,66.59125,1920,1080,0,30,0,0,0
0913boyWalkBy_GS5_20150913_182938,51.59181,1920,1080,0,30,0,0,0
0913boyWalkBy_Note4_20150913_181950,53.97029,1920,1080,0,30,0,0,0
0913boyWalkBy_iPhone5s_IMG_0245,62.81255,1920,1080,0,30,0,0,0
0923_BirdsFlyOnPier_GS5_20150925_165328,46.85895,1920,1080,0,30,0,0,0
0923_BirdsFlyOnPier_Nokia1020_WP_20130305_20_14_47_Pro,49.44337,1920,1080,0,30,0,0,0
0923_BirdsFlyOnPier_Note4_20150925_164318,34.77242,1920,1080,0,30,0,0,0
0923_BirdsFlyOnPier_iphone5_IMG_0277,24.64461,1920,1080,0,30,0,0,0
1006_ComplexTrain_GS6_20151006_155711,44.35578,1920,1080,0,30,0,0,0
1006_ComplexTrain_HTCOneVX_VIDEO0087,22.46554,1920,1080,0,30,0,0,0
1006_ComplexTrain_LGG2_CAM00835,27.47949,1920,1080,0,30,0,0,0
1006_ComplexTrain_OppoFind7_VID20150424111934,31.50849,1920,1080,0,30,0,0,0
1019_FlyingKite_GS6_20151020_140804,23.50289,1920,1080,0,30,0,0,0
1019_FlyingKite_HTCOneVX_VIDEO0127,20.80234,1920,1080,0,30,0,0,0
1019_FlyingKite_LGG2_CAM00875,42.07622,1920,1080,0,30,0,0,0
