flickr_id,height,width,framerate,mos
Animation_1080P-05f8,1080,1920,30,3.901
Animation_1080P-0c4f,1080,1920,30,3.94
Animation_1080P-18f5,1080,1920,30,4.158
Animation_1080P-209f,1080,1920,30,4.189
Animation_1080P-21dd,1080,1920,30,3.791
Animation_1080P-2fbe,1080,1920,30,3.346
Animation_1080P-2fff,1080,1920,30,4.369
Animation_1080P-3d67,1080,1920,30,2.778
Animation_1080P-3dbf,1080,1920,30,4.444
Animation_1080P-3e01,1080,1920,30,4.045
Animation_1080P-4214,1080,1920,30,3.51
Animation_1080P-4be3,1080,1920,30,3.565
Animation_1080P-4ea8,1080,1920,30,4.121
Animation_1080P-5083,1080,1920,30,3.252
Animation_1080P-58d3,1080,1920,30,4.243
Animation_1080P-5dd8,1080,1920,30,3.958
Animation_1080P-646f,1080,1920,30,3.376
Animation_2160P-41dc,2160,3840,30,3.512
Animation_2160P-6f3b,2304,3032,30,4.082
Animation_360P-08c9,360,640,30,3.652
Animation_360P-188f,360,640,30,3.702
Animation_360P-24d4,360,480,30,3.435
Animation_360P-3e40,360,640,30,2.353
Animation_360P-3e52,360,640,30,3.651
Animation_360P-47cc,360,640,30,3.282
Animation_360P-4b4c,360,640,30,3.003
Animation_360P-4edc,360,640,30,3.682
Animation_360P-5712,360,640,30,3.552
Animation_360P-5de0,360,640,30,3.429
Animation_360P-631c,360,640,30,2.236
Animation_360P-69e0,360,640,30,3.382
Animation_360P-7856,360,640,30,2.751
Animation_360P-794f,360,640,30,3.362
Animation_480P-046c,480,640,30,3.15
Animation_480P-073c,480,640,30,3.407
Animation_480P-087e,480,720,30,3.525
Animation_480P-08a5,480,640,30,3.42
Animation_480P-0d04,480,856,30,3.111
Animation_480P-35ee,480,720,30,3.29
Animation_480P-3fdf,480,640,30,3.465
Animation_480P-4b86,480,720,30,3.495
Animation_480P-4e36,480,640,30,3.303
Animation_480P-52af,480,854,30,3.656
Animation_480P-6e23,480,854,30,3.731
Animation_480P-6ef6,480,640,30,3.607
Animation_480P-70d4,480,720,30,3.848
Animation_480P-791b,480,640,30,3.286
Animation_480P-7a31,480,640,30,3.487
Animation_480P-7ef2,480,854,30,3.164
Animation_720P-0116,720,1280,30,4.054
Animation_720P-01b3,720,1280,30,3.638
Animation_720P-06a6,720,1280,30,3.942
Animation_720P-0acc,720,1280,30,3.876
Animation_720P-13b7,720,1280,30,4.318
