flickr_id,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
Animation_1080P-05f8,3.901,1920,1080,0,30,0,0,0
Animation_1080P-0c4f,3.94,1920,1080,0,30,0,0,0
Animation_1080P-18f5,4.158,1920,1080,0,30,0,0,0
Animation_1080P-209f,4.189,1920,1080,0,30,0,0,0
Animation_1080P-21dd,3.791,1920,1080,0,30,0,0,0
Animation_1080P-2fbe,3.346,1920,1080,0,30,0,0,0
Animation_1080P-2fff,4.369,1920,1080,0,30,0,0,0
Animation_1080P-3d67,2.778,1920,1080,0,30,0,0,0
Animation_1080P-3dbf,4.444,1920,1080,0,30,0,0,0
Animation_1080P-3e01,4.045,1920,1080,0,30,0,0,0
Animation_1080P-4214,3.51,1920,1080,0,30,0,0,0
Animation_1080P-4be3,3.565,1920,1080,0,30,0,0,0
Animation_1080P-4ea8,4.121,1920,1080,0,30,0,0,0
Animation_1080P-5083,3.252,1920,1080,0,30,0,0,0
Animation_1080P-58d3,4.243,1920,1080,0,30,0,0,0
Animation_1080P-5dd8,3.958,1920,1080,0,30,0,0,0
Animation_1080P-646f,3.376,1920,1080,0,30,0,0,0
Animation_2160P-41dc,3.512,3840,2160,0,30,0,0,0
Animation_2160P-6f3b,4.082,3032,2304,0,30,0,0,0
Animation_360P-08c9,3.652,640,360,0,30,0,0,0
Animation_360P-188f,3.702,640,360,0,30,0,0,0
Animation_360P-24d4,3.435,480,360,0,30,0,0,0
Animation_360P-3e40,2.353,640,360,0,30,0,0,0
Animation_360P-3e52,3.651,640,360,0,30,0,0,0
Animation_360P-47cc,3.282,640,360,0,30,0,0,0
Animation_360P-4b4c,3.003,640,360,0,30,0,0,0
Animation_360P-4edc,3.682,640,360,0,30,0,0,0
Animation_360P-5712,3.552,640,360,0,30,0,0,0
Animation_360P-5de0,3.429,640,360,0,30,0,0,0
Animation_360P-631c,2.236,640,360,0,30,0,0,0
Animation_360P-69e0,3.382,640,360,0,30,0,0,0
Animation_360P-7856,2.751,640,360,0,30,0,0,0
Animation_360P-794f,3.362,640,360,0,30,0,0,0
Animation_480P-046c,3.15,640,480,0,30,0,0,0
Animation_480P-073c,3.407,640,480,0,30,0,0,0
Animation_480P-087e,3.525,720,480,0,30,0,0,0
Animation_480P-08a5,3.42,640,480,0,30,0,0,0
Animation_480P-0d04,3.111,856,480,0,30,0,0,0
Animation_480P-35ee,3.29,720,480,0,30,0,0,0
Animation_480P-3fdf,3.465,640,480,0,30,0,0,0
Animation_480P-4b86,3.495,720,480,0,30,0,0,0
Animation_480P-4e36,3.303,640,480,0,30,0,0,0
Animation_480P-52af,3.656,854,480,0,30,0,0,0
Animation_480P-6e23,3.731,854,480,0,30,0,0,0
Animation_480P-6ef6,3.607,640,480,0,30,0,0,0
Animation_480P-70d4,3.848,720,480,0,30,0,0,0
Animation_480P-791b,3.286,640,480,0,30,0,0,0
Animation_480P-7a31,3.487,640,480,0,30,0,0,0
Animation_480P-7ef2,3.164,854,480,0,30,0,0,0
Animation_720P-0116,4.054,1280,720,0,30,0,0,0
Animation_720P-01b3,3.638,1280,720,0,30,0,0,0
Animation_720P-06a6,3.942,1280,720,0,30,0,0,0
Animation_720P-0acc,3.876,1280,720,0,30,0,0,0
Animation_720P-13b7,4.318,1280,720,0,30,0,0,0
Animation_720P-1a6d,4.283,1280,720,0,30,0,0,0
Animation_720P-2525,3.73,1280,720,0,30,0,0,0
Animation_720P-2abf,3.615,1280,720,0,30,0,0,0
Animation_720P-3adc,3.575,1280,720,0,30,0,0,0
Animation_720P-412a,4.249,1280,720,0,30,0,0,0
Animation_720P-41cf,3.862,1280,720,0,30,0,0,0
Animation_720P-41d6,4.148,960,720,0,30,0,0,0
Animation_720P-4268,3.846,1280,720,0,30,0,0,0
Animation_720P-431c,4.396,1280,720,0,30,0,0,0
Animation_720P-57d9,3.522,1280,720,0,30,0,0,0
Animation_720P-620f,4.522,1280,720,0,30,0,0,0
Animation_720P-6372,4.422,1280,720,0,30,0,0,0
Animation_720P-79ee,2.197,1280,720,0,30,0,0,0
Animation_720P-7b29,3.862,1280,720,0,30,0,0,0
Animation_720P-7e7d,3.589,1280,720,0,30,0,0,0
Animation_720P-7ff2,4.124,1280,720,0,30,0,0,0
