"video_shortname","Function_name",execution_count,exec_time_avg
"Test01_City_D01.mp4","calc_RAPIQUE_features",1,7.768750e+01
"Test01_City_D01.mp4","calc_RAPIQUE_features/deep_learning",12,1.716146e+00
"Test01_City_D01.mp4","calc_RAPIQUE_features/temporal NSS",12,1.460938e+00
"Test01_City_D01.mp4","clipValue",36,1.519097e-02
"Test01_City_D01.mp4","convertRGBToHSI",0,NaN
"Test01_City_D01.mp4","convertRGBToLAB",24,2.910156e-01
"Test01_City_D01.mp4","convertRGBToLMS",0,NaN
"Test01_City_D01.mp4","convertRGBToYuv",0,NaN
"Test01_City_D01.mp4","convertYuvToRgb",36,2.821181e-02
"Test01_City_D01.mp4","gauDerivative",120,3.906250e-04
"Test01_City_D01.mp4","loadFileYuv",0,NaN
"Test01_City_D01.mp4","progressbar",1,1.125000e+00
"Test01_City_D01.mp4","rapique_basic_extractor",648,4.945505e-02
"Test01_City_D01.mp4","RAPIQUE_spatial_features",24,1.539062e+00
"Test01_City_D01.mp4","saveFileYuv",0,NaN
"Test01_City_D02.mp4","calc_RAPIQUE_features",1,5.506250e+01
"Test01_City_D02.mp4","calc_RAPIQUE_features/deep_learning",11,6.519886e-01
"Test01_City_D02.mp4","calc_RAPIQUE_features/temporal NSS",11,1.323864e+00
"Test01_City_D02.mp4","clipValue",33,1.799242e-02
"Test01_City_D02.mp4","convertRGBToHSI",0,NaN
"Test01_City_D02.mp4","convertRGBToLAB",22,2.400568e-01
"Test01_City_D02.mp4","convertRGBToLMS",0,NaN
"Test01_City_D02.mp4","convertRGBToYuv",0,NaN
"Test01_City_D02.mp4","convertYuvToRgb",33,2.793561e-02
"Test01_City_D02.mp4","gauDerivative",110,2.840909e-04
"Test01_City_D02.mp4","loadFileYuv",0,NaN
"Test01_City_D02.mp4","progressbar",1,0
"Test01_City_D02.mp4","rapique_basic_extractor",594,4.732218e-02
"Test01_City_D02.mp4","RAPIQUE_spatial_features",22,1.408381e+00
"Test01_City_D02.mp4","saveFileYuv",0,NaN
"Test01_City_D03.mp4","calc_RAPIQUE_features",1,5.515625e+01
"Test01_City_D03.mp4","calc_RAPIQUE_features/deep_learning",12,5.781250e-01
"Test01_City_D03.mp4","calc_RAPIQUE_features/temporal NSS",12,1.307292e+00
"Test01_City_D03.mp4","clipValue",36,1.388889e-02
"Test01_City_D03.mp4","convertRGBToHSI",0,NaN
"Test01_City_D03.mp4","convertRGBToLAB",24,2.480469e-01
"Test01_City_D03.mp4","convertRGBToLMS",0,NaN
"Test01_City_D03.mp4","convertRGBToYuv",0,NaN
"Test01_City_D03.mp4","convertYuvToRgb",36,2.083333e-02
"Test01_City_D03.mp4","gauDerivative",120,2.604167e-04
"Test01_City_D03.mp4","loadFileYuv",0,NaN
"Test01_City_D03.mp4","progressbar",1,1.562500e-02
"Test01_City_D03.mp4","rapique_basic_extractor",648,4.318576e-02
"Test01_City_D03.mp4","RAPIQUE_spatial_features",24,1.271484e+00
"Test01_City_D03.mp4","saveFileYuv",0,NaN
"Test01_City_D04.mp4","calc_RAPIQUE_features",1,4.760938e+01
"Test01_City_D04.mp4","calc_RAPIQUE_features/deep_learning",11,4.843750e-01
"Test01_City_D04.mp4","calc_RAPIQUE_features/temporal NSS",11,1.149148e+00
"Test01_City_D04.mp4","clipValue",33,1.325758e-02
"Test01_City_D04.mp4","convertRGBToHSI",0,NaN
"Test01_City_D04.mp4","convertRGBToLAB",22,2.485795e-01
"Test01_City_D04.mp4","convertRGBToLMS",0,NaN
"Test01_City_D04.mp4","convertRGBToYuv",0,NaN
"Test01_City_D04.mp4","convertYuvToRgb",33,2.414773e-02
"Test01_City_D04.mp4","gauDerivative",110,0
"Test01_City_D04.mp4","loadFileYuv",0,NaN
"Test01_City_D04.mp4","progressbar",1,1.562500e-02
"Test01_City_D04.mp4","rapique_basic_extractor",594,4.240320e-02
"Test01_City_D04.mp4","RAPIQUE_spatial_features",22,1.260653e+00
"Test01_City_D04.mp4","saveFileYuv",0,NaN
"Test01_City_D05.mp4","calc_RAPIQUE_features",1,4.903125e+01
"Test01_City_D05.mp4","calc_RAPIQUE_features/deep_learning",11,5.326705e-01
"Test01_City_D05.mp4","calc_RAPIQUE_features/temporal NSS",11,1.205966e+00
"Test01_City_D05.mp4","clipValue",33,1.467803e-02
"Test01_City_D05.mp4","convertRGBToHSI",0,NaN
"Test01_City_D05.mp4","convertRGBToLAB",22,2.379261e-01
"Test01_City_D05.mp4","convertRGBToLMS",0,NaN
"Test01_City_D05.mp4","convertRGBToYuv",0,NaN
"Test01_City_D05.mp4","convertYuvToRgb",33,1.988636e-02
"Test01_City_D05.mp4","gauDerivative",110,1.420455e-04
"Test01_City_D05.mp4","loadFileYuv",0,NaN
"Test01_City_D05.mp4","progressbar",1,3.125000e-02
"Test01_City_D05.mp4","rapique_basic_extractor",594,4.353430e-02
"Test01_City_D05.mp4","RAPIQUE_spatial_features",22,1.282670e+00
"Test01_City_D05.mp4","saveFileYuv",0,NaN
"Test01_City_D06.mp4","calc_RAPIQUE_features",1,5.148438e+01
"Test01_City_D06.mp4","calc_RAPIQUE_features/deep_learning",11,6.264205e-01
"Test01_City_D06.mp4","calc_RAPIQUE_features/temporal NSS",11,1.294034e+00
"Test01_City_D06.mp4","clipValue",33,1.515152e-02
"Test01_City_D06.mp4","convertRGBToHSI",0,NaN
"Test01_City_D06.mp4","convertRGBToLAB",22,2.478693e-01
"Test01_City_D06.mp4","convertRGBToLMS",0,NaN
"Test01_City_D06.mp4","convertRGBToYuv",0,NaN
"Test01_City_D06.mp4","convertYuvToRgb",33,2.604167e-02
"Test01_City_D06.mp4","gauDerivative",110,0
"Test01_City_D06.mp4","loadFileYuv",0,NaN
"Test01_City_D06.mp4","progressbar",1,0
"Test01_City_D06.mp4","rapique_basic_extractor",594,4.440236e-02
"Test01_City_D06.mp4","RAPIQUE_spatial_features",22,1.291903e+00
"Test01_City_D06.mp4","saveFileYuv",0,NaN
"Test01_City_D07.mp4","calc_RAPIQUE_features",1,5.979688e+01
"Test01_City_D07.mp4","calc_RAPIQUE_features/deep_learning",13,5.612981e-01
"Test01_City_D07.mp4","calc_RAPIQUE_features/temporal NSS",13,1.343750e+00
"Test01_City_D07.mp4","clipValue",39,1.322115e-02
"Test01_City_D07.mp4","convertRGBToHSI",0,NaN
"Test01_City_D07.mp4","convertRGBToLAB",26,2.578125e-01
"Test01_City_D07.mp4","convertRGBToLMS",0,NaN
"Test01_City_D07.mp4","convertRGBToYuv",0,NaN
"Test01_City_D07.mp4","convertYuvToRgb",39,2.323718e-02
"Test01_City_D07.mp4","gauDerivative",130,1.201923e-04
"Test01_City_D07.mp4","loadFileYuv",0,NaN
"Test01_City_D07.mp4","progressbar",1,1.562500e-02
"Test01_City_D07.mp4","rapique_basic_extractor",702,4.291311e-02
"Test01_City_D07.mp4","RAPIQUE_spatial_features",26,1.260817e+00
"Test01_City_D07.mp4","saveFileYuv",0,NaN
"Test01_City_D08.mp4","calc_RAPIQUE_features",1,5.368750e+01
"Test01_City_D08.mp4","calc_RAPIQUE_features/deep_learning",12,4.609375e-01
"Test01_City_D08.mp4","calc_RAPIQUE_features/temporal NSS",12,1.246094e+00
"Test01_City_D08.mp4","clipValue",36,1.432292e-02
"Test01_City_D08.mp4","convertRGBToHSI",0,NaN
"Test01_City_D08.mp4","convertRGBToLAB",24,2.539062e-01
"Test01_City_D08.mp4","convertRGBToLMS",0,NaN
"Test01_City_D08.mp4","convertRGBToYuv",0,NaN
"Test01_City_D08.mp4","convertYuvToRgb",36,2.604167e-02
"Test01_City_D08.mp4","gauDerivative",120,0
"Test01_City_D08.mp4","loadFileYuv",0,NaN
"Test01_City_D08.mp4","progressbar",1,4.687500e-02
"Test01_City_D08.mp4","rapique_basic_extractor",648,4.424672e-02
"Test01_City_D08.mp4","RAPIQUE_spatial_features",24,1.288411e+00
"Test01_City_D08.mp4","saveFileYuv",0,NaN
"Test01_City_D09.mp4","calc_RAPIQUE_features",1,5.295312e+01
"Test01_City_D09.mp4","calc_RAPIQUE_features/deep_learning",12,4.414062e-01
"Test01_City_D09.mp4","calc_RAPIQUE_features/temporal NSS",12,1.197917e+00
"Test01_City_D09.mp4","clipValue",36,1.519097e-02
"Test01_City_D09.mp4","convertRGBToHSI",0,NaN
"Test01_City_D09.mp4","convertRGBToLAB",24,2.552083e-01
"Test01_City_D09.mp4","convertRGBToLMS",0,NaN
"Test01_City_D09.mp4","convertRGBToYuv",0,NaN
"Test01_City_D09.mp4","convertYuvToRgb",36,2.560764e-02
"Test01_City_D09.mp4","gauDerivative",120,0
"Test01_City_D09.mp4","loadFileYuv",0,NaN
"Test01_City_D09.mp4","progressbar",1,2.343750e-01
"Test01_City_D09.mp4","rapique_basic_extractor",648,4.378858e-02
"Test01_City_D09.mp4","RAPIQUE_spatial_features",24,1.293620e+00
"Test01_City_D09.mp4","saveFileYuv",0,NaN
"Test01_Talking_Head_D01.mp4","calc_RAPIQUE_features",1,7.137500e+01
