video_shortname,Function_name,execution_count,exec_time_avg
"3.339963e+09","calc_RAPIQUE_features",1.0,62.48438
"3.339963e+09","calc_RAPIQUE_features/deep_learning",8.0,1.785156
"3.339963e+09","calc_RAPIQUE_features/temporal NSS",8.0,1.677734
"3.339963e+09","clipValue",24.0,0.02018229
"3.339963e+09","convertRGBToHSI",0.0,
"3.339963e+09","convertRGBToLAB",16.0,0.3867188
"3.339963e+09","convertRGBToLMS",0.0,
"3.339963e+09","convertRGBToYuv",0.0,
"3.339963e+09","convertYuvToRgb",24.0,0.04752604
"3.339963e+09","gauDerivative",80.0,0.0
"3.339963e+09","loadFileYuv",0.0,
"3.339963e+09","progressbar",1.0,1.21875
"3.339963e+09","rapique_basic_extractor",432.0,0.05031105
"3.339963e+09","RAPIQUE_spatial_features",16.0,1.995117
"3.339963e+09","saveFileYuv",0.0,
"8.171832e+09","calc_RAPIQUE_features",1.0,48.35938
"8.171832e+09","calc_RAPIQUE_features/deep_learning",8.0,0.7363281
"8.171832e+09","calc_RAPIQUE_features/temporal NSS",8.0,1.560547
"8.171832e+09","clipValue",24.0,0.02213542
"8.171832e+09","convertRGBToHSI",0.0,
"8.171832e+09","convertRGBToLAB",16.0,0.3535156
"8.171832e+09","convertRGBToLMS",0.0,
"8.171832e+09","convertRGBToYuv",0.0,
"8.171832e+09","convertYuvToRgb",24.0,0.05143229
"8.171832e+09","gauDerivative",80.0,0.0001953125
"8.171832e+09","loadFileYuv",0.0,
"8.171832e+09","progressbar",1.0,0.03125
"8.171832e+09","rapique_basic_extractor",432.0,0.04730903
"8.171832e+09","RAPIQUE_spatial_features",16.0,1.706055
"8.171832e+09","saveFileYuv",0.0,
"6.076608e+09","calc_RAPIQUE_features",1.0,47.1875
"6.076608e+09","calc_RAPIQUE_features/deep_learning",8.0,0.5429688
"6.076608e+09","calc_RAPIQUE_features/temporal NSS",8.0,1.509766
"6.076608e+09","clipValue",24.0,0.01692708
"6.076608e+09","convertRGBToHSI",0.0,
"6.076608e+09","convertRGBToLAB",16.0,0.3320312
"6.076608e+09","convertRGBToLMS",0.0,
"6.076608e+09","convertRGBToYuv",0.0,
"6.076608e+09","convertYuvToRgb",24.0,0.04427083
"6.076608e+09","gauDerivative",80.0,0.0
"6.076608e+09","loadFileYuv",0.0,
"6.076608e+09","progressbar",1.0,0.0
"6.076608e+09","rapique_basic_extractor",432.0,0.04882812
"6.076608e+09","RAPIQUE_spatial_features",16.0,1.762695
"6.076608e+09","saveFileYuv",0.0,
"8.751539e+09","calc_RAPIQUE_features",1.0,46.53125
"8.751539e+09","calc_RAPIQUE_features/deep_learning",8.0,0.6074219
"8.751539e+09","calc_RAPIQUE_features/temporal NSS",8.0,1.519531
"8.751539e+09","clipValue",24.0,0.01822917
"8.751539e+09","convertRGBToHSI",0.0,
"8.751539e+09","convertRGBToLAB",16.0,0.3164062
"8.751539e+09","convertRGBToLMS",0.0,
"8.751539e+09","convertRGBToYuv",0.0,
"8.751539e+09","convertYuvToRgb",24.0,0.04817708
"8.751539e+09","gauDerivative",80.0,0.0
"8.751539e+09","loadFileYuv",0.0,
"8.751539e+09","progressbar",1.0,0.015625
"8.751539e+09","rapique_basic_extractor",432.0,0.04437934
"8.751539e+09","RAPIQUE_spatial_features",16.0,1.664062
"8.751539e+09","saveFileYuv",0.0,
"7.518774e+09","calc_RAPIQUE_features",1.0,47.17188
"7.518774e+09","calc_RAPIQUE_features/deep_learning",8.0,0.4648438
"7.518774e+09","calc_RAPIQUE_features/temporal NSS",8.0,1.478516
"7.518774e+09","clipValue",24.0,0.01953125
"7.518774e+09","convertRGBToHSI",0.0,
"7.518774e+09","convertRGBToLAB",16.0,0.3496094
"7.518774e+09","convertRGBToLMS",0.0,
"7.518774e+09","convertRGBToYuv",0.0,
"7.518774e+09","convertYuvToRgb",24.0,0.04492188
"7.518774e+09","gauDerivative",80.0,0.0005859375
"7.518774e+09","loadFileYuv",0.0,
"7.518774e+09","progressbar",1.0,0.0
"7.518774e+09","rapique_basic_extractor",432.0,0.04929832
"7.518774e+09","RAPIQUE_spatial_features",16.0,1.814453
"7.518774e+09","saveFileYuv",0.0,
"8.657922e+09","calc_RAPIQUE_features",1.0,41.95312
"8.657922e+09","calc_RAPIQUE_features/deep_learning",8.0,0.3945312
"8.657922e+09","calc_RAPIQUE_features/temporal NSS",8.0,1.396484
"8.657922e+09","clipValue",24.0,0.01497396
"8.657922e+09","convertRGBToHSI",0.0,
"8.657922e+09","convertRGBToLAB",16.0,0.3212891
"8.657922e+09","convertRGBToLMS",0.0,
"8.657922e+09","convertRGBToYuv",0.0,
"8.657922e+09","convertYuvToRgb",24.0,0.03320312
"8.657922e+09","gauDerivative",80.0,0.0001953125
"8.657922e+09","loadFileYuv",0.0,
"8.657922e+09","progressbar",1.0,0.0
"8.657922e+09","rapique_basic_extractor",432.0,0.04597078
"8.657922e+09","RAPIQUE_spatial_features",16.0,1.594727
"8.657922e+09","saveFileYuv",0.0,
"8.758953e+09","calc_RAPIQUE_features",1.0,43.75
"8.758953e+09","calc_RAPIQUE_features/deep_learning",8.0,0.4882812
"8.758953e+09","calc_RAPIQUE_features/temporal NSS",8.0,1.439453
"8.758953e+09","clipValue",24.0,0.009765625
"8.758953e+09","convertRGBToHSI",0.0,
"8.758953e+09","convertRGBToLAB",16.0,0.3046875
"8.758953e+09","convertRGBToLMS",0.0,
"8.758953e+09","convertRGBToYuv",0.0,
"8.758953e+09","convertYuvToRgb",24.0,0.03385417
"8.758953e+09","gauDerivative",80.0,0.0001953125
"8.758953e+09","loadFileYuv",0.0,
"8.758953e+09","progressbar",1.0,0.0
"8.758953e+09","rapique_basic_extractor",432.0,0.04918981
"8.758953e+09","RAPIQUE_spatial_features",16.0,1.633789
"8.758953e+09","saveFileYuv",0.0,
"9.571378e+09","calc_RAPIQUE_features",1.0,44.79688
"9.571378e+09","calc_RAPIQUE_features/deep_learning",8.0,0.5390625
"9.571378e+09","calc_RAPIQUE_features/temporal NSS",8.0,1.519531
"9.571378e+09","clipValue",24.0,0.01627604
"9.571378e+09","convertRGBToHSI",0.0,
"9.571378e+09","convertRGBToLAB",16.0,0.3203125
"9.571378e+09","convertRGBToLMS",0.0,
"9.571378e+09","convertRGBToYuv",0.0,
"9.571378e+09","convertYuvToRgb",24.0,0.03841146
"9.571378e+09","gauDerivative",80.0,0.0001953125
"9.571378e+09","loadFileYuv",0.0,
"9.571378e+09","progressbar",1.0,0.0
"9.571378e+09","rapique_basic_extractor",432.0,0.04691117
"9.571378e+09","RAPIQUE_spatial_features",16.0,1.621094
"9.571378e+09","saveFileYuv",0.0,
