video_shortname,Function_name,execution_count,exec_time_avg
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","calc_RAPIQUE_features",1.0,153.2031
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","calc_RAPIQUE_features/deep_learning",15.0,1.75625
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","calc_RAPIQUE_features/temporal NSS",15.0,2.205208
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","clipValue",45.0,0.09548611
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","convertRGBToHSI",0.0,
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","convertRGBToLAB",30.0,0.3947917
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","convertRGBToLMS",0.0,
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","convertRGBToYuv",0.0,
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","convertYuvToRgb",45.0,0.2565972
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","gauDerivative",150.0,0.0
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","loadFileYuv",0.0,
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","progressbar",1.0,1.25
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","rapique_basic_extractor",810.0,0.04780093
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","RAPIQUE_spatial_features",30.0,2.382292
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","saveFileYuv",0.0,
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","calc_RAPIQUE_features",1.0,116.7969
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","calc_RAPIQUE_features/deep_learning",15.0,0.5864583
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","calc_RAPIQUE_features/temporal NSS",15.0,1.816667
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","clipValue",45.0,0.07534722
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","convertRGBToHSI",0.0,
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","convertRGBToLAB",30.0,0.3432292
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","convertRGBToLMS",0.0,
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","convertRGBToYuv",0.0,
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","convertYuvToRgb",45.0,0.2069444
