"video_shortname","Function_name",execution_count,exec_time_avg
"A001.mp4","calc_RAPIQUE_features",1,8.331250e+01
"A001.mp4","calc_RAPIQUE_features/deep_learning",10,1.331250e+00
"A001.mp4","calc_RAPIQUE_features/temporal NSS",10,1.853125e+00
"A001.mp4","clipValue",30,7.916667e-02
"A001.mp4","convertRGBToHSI",0,NaN
"A001.mp4","convertRGBToLAB",20,3.984375e-01
"A001.mp4","convertRGBToLMS",0,NaN
"A001.mp4","convertRGBToYuv",0,NaN
"A001.mp4","convertYuvToRgb",30,1.765625e-01
"A001.mp4","gauDerivative",100,1.562500e-04
"A001.mp4","loadFileYuv",0,NaN
"A001.mp4","progressbar",1,6.250000e-01
"A001.mp4","rapique_basic_extractor",540,4.424190e-02
"A001.mp4","RAPIQUE_spatial_features",20,2.014063e+00
"A001.mp4","saveFileYuv",0,NaN
"A002.mp4","calc_RAPIQUE_features",1,7.389062e+01
"A002.mp4","calc_RAPIQUE_features/deep_learning",10,5.015625e-01
"A002.mp4","calc_RAPIQUE_features/temporal NSS",10,1.779688e+00
"A002.mp4","clipValue",30,7.031250e-02
"A002.mp4","convertRGBToHSI",0,NaN
"A002.mp4","convertRGBToLAB",20,4.031250e-01
"A002.mp4","convertRGBToLMS",0,NaN
"A002.mp4","convertRGBToYuv",0,NaN
"A002.mp4","convertYuvToRgb",30,1.656250e-01
"A002.mp4","gauDerivative",100,0
"A002.mp4","loadFileYuv",0,NaN
"A002.mp4","progressbar",1,0
"A002.mp4","rapique_basic_extractor",540,4.279514e-02
"A002.mp4","RAPIQUE_spatial_features",20,2.010937e+00
"A002.mp4","saveFileYuv",0,NaN
"A003.mp4","calc_RAPIQUE_features",1,7.179688e+01
"A003.mp4","calc_RAPIQUE_features/deep_learning",10,4.812500e-01
"A003.mp4","calc_RAPIQUE_features/temporal NSS",10,1.764063e+00
"A003.mp4","clipValue",30,7.291667e-02
"A003.mp4","convertRGBToHSI",0,NaN
"A003.mp4","convertRGBToLAB",20,3.929687e-01
"A003.mp4","convertRGBToLMS",0,NaN
"A003.mp4","convertRGBToYuv",0,NaN
"A003.mp4","convertYuvToRgb",30,1.682292e-01
"A003.mp4","gauDerivative",100,1.562500e-04
"A003.mp4","loadFileYuv",0,NaN
"A003.mp4","progressbar",1,0
"A003.mp4","rapique_basic_extractor",540,4.207176e-02
"A003.mp4","RAPIQUE_spatial_features",20,1.928125e+00
"A003.mp4","saveFileYuv",0,NaN
"A004.mp4","calc_RAPIQUE_features",1,7.481250e+01
"A004.mp4","calc_RAPIQUE_features/deep_learning",10,4.921875e-01
"A004.mp4","calc_RAPIQUE_features/temporal NSS",10,1.893750e+00
"A004.mp4","clipValue",30,7.031250e-02
"A004.mp4","convertRGBToHSI",0,NaN
"A004.mp4","convertRGBToLAB",20,3.906250e-01
"A004.mp4","convertRGBToLMS",0,NaN
"A004.mp4","convertRGBToYuv",0,NaN
"A004.mp4","convertYuvToRgb",30,1.697917e-01
"A004.mp4","gauDerivative",100,0
"A004.mp4","loadFileYuv",0,NaN
"A004.mp4","progressbar",1,0
"A004.mp4","rapique_basic_extractor",540,4.432870e-02
"A004.mp4","RAPIQUE_spatial_features",20,2.005469e+00
"A004.mp4","saveFileYuv",0,NaN
"A005.mp4","calc_RAPIQUE_features",1,7.295312e+01
"A005.mp4","calc_RAPIQUE_features/deep_learning",10,4.843750e-01
"A005.mp4","calc_RAPIQUE_features/temporal NSS",10,1.937500e+00
"A005.mp4","clipValue",30,7.031250e-02
"A005.mp4","convertRGBToHSI",0,NaN
"A005.mp4","convertRGBToLAB",20,3.929687e-01
"A005.mp4","convertRGBToLMS",0,NaN
"A005.mp4","convertRGBToYuv",0,NaN
"A005.mp4","convertYuvToRgb",30,1.651042e-01
"A005.mp4","gauDerivative",100,3.125000e-04
"A005.mp4","loadFileYuv",0,NaN
"A005.mp4","progressbar",1,0
"A005.mp4","rapique_basic_extractor",540,4.192708e-02
"A005.mp4","RAPIQUE_spatial_features",20,1.877344e+00
"A005.mp4","saveFileYuv",0,NaN
"A006.mp4","calc_RAPIQUE_features",1,7.150000e+01
"A006.mp4","calc_RAPIQUE_features/deep_learning",10,4.312500e-01
"A006.mp4","calc_RAPIQUE_features/temporal NSS",10,1.803125e+00
"A006.mp4","clipValue",30,7.083333e-02
"A006.mp4","convertRGBToHSI",0,NaN
"A006.mp4","convertRGBToLAB",20,3.976562e-01
"A006.mp4","convertRGBToLMS",0,NaN
"A006.mp4","convertRGBToYuv",0,NaN
"A006.mp4","convertYuvToRgb",30,1.697917e-01
"A006.mp4","gauDerivative",100,1.562500e-04
"A006.mp4","loadFileYuv",0,NaN
"A006.mp4","progressbar",1,0
"A006.mp4","rapique_basic_extractor",540,4.279514e-02
"A006.mp4","RAPIQUE_spatial_features",20,1.919531e+00
"A006.mp4","saveFileYuv",0,NaN
"A007.mp4","calc_RAPIQUE_features",1,7.442188e+01
"A007.mp4","calc_RAPIQUE_features/deep_learning",10,4.531250e-01
"A007.mp4","calc_RAPIQUE_features/temporal NSS",10,1.859375e+00
"A007.mp4","clipValue",30,6.979167e-02
"A007.mp4","convertRGBToHSI",0,NaN
"A007.mp4","convertRGBToLAB",20,4.039063e-01
"A007.mp4","convertRGBToLMS",0,NaN
"A007.mp4","convertRGBToYuv",0,NaN
"A007.mp4","convertYuvToRgb",30,1.760417e-01
"A007.mp4","gauDerivative",100,0
"A007.mp4","loadFileYuv",0,NaN
"A007.mp4","progressbar",1,1.562500e-02
"A007.mp4","rapique_basic_extractor",540,4.317130e-02
"A007.mp4","RAPIQUE_spatial_features",20,2.003125e+00
"A007.mp4","saveFileYuv",0,NaN
"A008.mp4","calc_RAPIQUE_features",1,7.118750e+01
"A008.mp4","calc_RAPIQUE_features/deep_learning",10,4.484375e-01
"A008.mp4","calc_RAPIQUE_features/temporal NSS",10,1.820312e+00
"A008.mp4","clipValue",30,7.291667e-02
"A008.mp4","convertRGBToHSI",0,NaN
"A008.mp4","convertRGBToLAB",20,3.843750e-01
"A008.mp4","convertRGBToLMS",0,NaN
"A008.mp4","convertRGBToYuv",0,NaN
"A008.mp4","convertYuvToRgb",30,1.703125e-01
"A008.mp4","gauDerivative",100,4.687500e-04
"A008.mp4","loadFileYuv",0,NaN
"A008.mp4","progressbar",1,0
"A008.mp4","rapique_basic_extractor",540,4.311343e-02
"A008.mp4","RAPIQUE_spatial_features",20,1.883594e+00
"A008.mp4","saveFileYuv",0,NaN
"A001.mp4","calc_RAPIQUE_features",1,7.823438e+01
"A001.mp4","calc_RAPIQUE_features/deep_learning",10,8.687500e-01
"A001.mp4","calc_RAPIQUE_features/temporal NSS",10,1.839063e+00
"A001.mp4","clipValue",30,7.812500e-02
"A001.mp4","convertRGBToHSI",0,NaN
"A001.mp4","convertRGBToLAB",20,4.218750e-01
"A001.mp4","convertRGBToLMS",0,NaN
"A001.mp4","convertRGBToYuv",0,NaN
"A001.mp4","convertYuvToRgb",30,1.755208e-01
"A001.mp4","gauDerivative",100,1.562500e-04
"A001.mp4","loadFileYuv",0,NaN
"A001.mp4","progressbar",1,8.437500e-01
"A001.mp4","rapique_basic_extractor",540,4.305556e-02
"A001.mp4","RAPIQUE_spatial_features",20,2.000781e+00
"A001.mp4","saveFileYuv",0,NaN
"A002.mp4","calc_RAPIQUE_features",1,7.153125e+01
"A002.mp4","calc_RAPIQUE_features/deep_learning",10,4.218750e-01
"A002.mp4","calc_RAPIQUE_features/temporal NSS",10,1.782812e+00
"A002.mp4","clipValue",30,7.500000e-02
"A002.mp4","convertRGBToHSI",0,NaN
"A002.mp4","convertRGBToLAB",20,3.859375e-01
"A002.mp4","convertRGBToLMS",0,NaN
"A002.mp4","convertRGBToYuv",0,NaN
"A002.mp4","convertYuvToRgb",30,1.713542e-01
"A002.mp4","gauDerivative",100,4.687500e-04
"A002.mp4","loadFileYuv",0,NaN
"A002.mp4","progressbar",1,0
"A002.mp4","rapique_basic_extractor",540,4.198495e-02
"A002.mp4","RAPIQUE_spatial_features",20,1.917969e+00
"A002.mp4","saveFileYuv",0,NaN
"A003.mp4","calc_RAPIQUE_features",1,7.110938e+01
"A003.mp4","calc_RAPIQUE_features/deep_learning",10,4.484375e-01
"A003.mp4","calc_RAPIQUE_features/temporal NSS",10,1.773438e+00
"A003.mp4","clipValue",30,7.343750e-02
"A003.mp4","convertRGBToHSI",0,NaN
"A003.mp4","convertRGBToLAB",20,3.960938e-01
"A003.mp4","convertRGBToLMS",0,NaN
"A003.mp4","convertRGBToYuv",0,NaN
"A003.mp4","convertYuvToRgb",30,1.666667e-01
"A003.mp4","gauDerivative",100,4.687500e-04
