"video_shortname","Function_name",execution_count,exec_time_avg
"Animation_1080P-05f8","calc_RAPIQUE_features",1,4.845312e+01
"Animation_1080P-05f8","calc_RAPIQUE_features/deep_learning",20,2.859375e-01
"Animation_1080P-05f8","calc_RAPIQUE_features/temporal NSS",20,7.789063e-01
"Animation_1080P-05f8","clipValue",60,1.744792e-02
"Animation_1080P-05f8","convertRGBToHSI",0,NaN
"Animation_1080P-05f8","convertRGBToLAB",40,5.664062e-02
"Animation_1080P-05f8","convertRGBToLMS",0,NaN
"Animation_1080P-05f8","convertRGBToYuv",0,NaN
"Animation_1080P-05f8","convertYuvToRgb",60,4.296875e-02
"Animation_1080P-05f8","gauDerivative",200,0
"Animation_1080P-05f8","loadFileYuv",0,NaN
"Animation_1080P-05f8","progressbar",1,6.093750e-01
"Animation_1080P-05f8","rapique_basic_extractor",1080,1.276042e-02
"Animation_1080P-05f8","RAPIQUE_spatial_features",40,4.964844e-01
"Animation_1080P-05f8","saveFileYuv",0,NaN
"Animation_1080P-0c4f","calc_RAPIQUE_features",1,4.057812e+01
"Animation_1080P-0c4f","calc_RAPIQUE_features/deep_learning",20,1.164063e-01
"Animation_1080P-0c4f","calc_RAPIQUE_features/temporal NSS",20,6.929688e-01
"Animation_1080P-0c4f","clipValue",60,1.666667e-02
"Animation_1080P-0c4f","convertRGBToHSI",0,NaN
"Animation_1080P-0c4f","convertRGBToLAB",40,4.492188e-02
"Animation_1080P-0c4f","convertRGBToLMS",0,NaN
"Animation_1080P-0c4f","convertRGBToYuv",0,NaN
"Animation_1080P-0c4f","convertYuvToRgb",60,4.140625e-02
"Animation_1080P-0c4f","gauDerivative",200,0
"Animation_1080P-0c4f","loadFileYuv",0,NaN
"Animation_1080P-0c4f","progressbar",1,1.562500e-02
"Animation_1080P-0c4f","rapique_basic_extractor",1080,1.189236e-02
"Animation_1080P-0c4f","RAPIQUE_spatial_features",40,4.527344e-01
"Animation_1080P-0c4f","saveFileYuv",0,NaN
"Animation_1080P-18f5","calc_RAPIQUE_features",1,4.225000e+01
"Animation_1080P-18f5","calc_RAPIQUE_features/deep_learning",20,1.117188e-01
"Animation_1080P-18f5","calc_RAPIQUE_features/temporal NSS",20,6.671875e-01
"Animation_1080P-18f5","clipValue",60,1.562500e-02
"Animation_1080P-18f5","convertRGBToHSI",0,NaN
"Animation_1080P-18f5","convertRGBToLAB",40,4.804688e-02
"Animation_1080P-18f5","convertRGBToLMS",0,NaN
"Animation_1080P-18f5","convertRGBToYuv",0,NaN
"Animation_1080P-18f5","convertYuvToRgb",60,4.088542e-02
"Animation_1080P-18f5","gauDerivative",200,1.562500e-04
"Animation_1080P-18f5","loadFileYuv",0,NaN
"Animation_1080P-18f5","progressbar",1,0
"Animation_1080P-18f5","rapique_basic_extractor",1080,1.358507e-02
"Animation_1080P-18f5","RAPIQUE_spatial_features",40,5.121094e-01
"Animation_1080P-18f5","saveFileYuv",0,NaN
"Animation_1080P-209f","calc_RAPIQUE_features",1,4.229688e+01
"Animation_1080P-209f","calc_RAPIQUE_features/deep_learning",20,1.234375e-01
"Animation_1080P-209f","calc_RAPIQUE_features/temporal NSS",20,6.789063e-01
"Animation_1080P-209f","clipValue",60,1.692708e-02
"Animation_1080P-209f","convertRGBToHSI",0,NaN
"Animation_1080P-209f","convertRGBToLAB",40,5.117187e-02
"Animation_1080P-209f","convertRGBToLMS",0,NaN
"Animation_1080P-209f","convertRGBToYuv",0,NaN
"Animation_1080P-209f","convertYuvToRgb",60,4.427083e-02
"Animation_1080P-209f","gauDerivative",200,0
"Animation_1080P-209f","loadFileYuv",0,NaN
"Animation_1080P-209f","progressbar",1,0
"Animation_1080P-209f","rapique_basic_extractor",1080,1.213831e-02
