"video_shortname","Function_name",execution_count,exec_time_avg
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","calc_RAPIQUE_features",1,3.592188e+01
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","calc_RAPIQUE_features/deep_learning",15,3.385417e-01
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","calc_RAPIQUE_features/temporal NSS",15,7.114583e-01
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","clipValue",45,1.631944e-02
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","convertRGBToHSI",0,NaN
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","convertRGBToLAB",30,5.364583e-02
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","convertRGBToLMS",0,NaN
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","convertRGBToYuv",0,NaN
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","convertYuvToRgb",45,3.888889e-02
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","gauDerivative",150,0
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","loadFileYuv",0,NaN
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","progressbar",1,3.750000e-01
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","rapique_basic_extractor",810,1.332948e-02
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","RAPIQUE_spatial_features",30,5.119792e-01
"0723_ManUnderTree_GS5_03_20150723_130016.yuv","saveFileYuv",0,NaN
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","calc_RAPIQUE_features",1,2.898438e+01
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","calc_RAPIQUE_features/deep_learning",15,1.239583e-01
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","calc_RAPIQUE_features/temporal NSS",15,6.322917e-01
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","clipValue",45,1.736111e-02
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","convertRGBToHSI",0,NaN
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","convertRGBToLAB",30,4.635417e-02
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","convertRGBToLMS",0,NaN
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","convertRGBToYuv",0,NaN
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","convertYuvToRgb",45,4.027778e-02
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","gauDerivative",150,1.041667e-04
"0723_ManUnderTree_GS6_03_20150723_130100.yuv","loadFileYuv",0,NaN
