"video_shortname","Function_name",execution_count,exec_time_avg
"Test01_City_D01.mp4","calc_RAPIQUE_features",1,1.784375e+01
"Test01_City_D01.mp4","calc_RAPIQUE_features/deep_learning",12,2.864583e-01
"Test01_City_D01.mp4","calc_RAPIQUE_features/temporal NSS",12,4.283854e-01
"Test01_City_D01.mp4","clipValue",36,8.680556e-04
"Test01_City_D01.mp4","convertRGBToHSI",0,NaN
"Test01_City_D01.mp4","convertRGBToLAB",24,2.799479e-02
"Test01_City_D01.mp4","convertRGBToLMS",0,NaN
"Test01_City_D01.mp4","convertRGBToYuv",0,NaN
"Test01_City_D01.mp4","convertYuvToRgb",36,5.642361e-03
"Test01_City_D01.mp4","gauDerivative",120,0
"Test01_City_D01.mp4","loadFileYuv",0,NaN
"Test01_City_D01.mp4","progressbar",1,3.437500e-01
"Test01_City_D01.mp4","rapique_basic_extractor",648,1.323785e-02
"Test01_City_D01.mp4","RAPIQUE_spatial_features",24,3.587240e-01
"Test01_City_D01.mp4","saveFileYuv",0,NaN
"Test01_City_D02.mp4","calc_RAPIQUE_features",1,1.125000e+01
"Test01_City_D02.mp4","calc_RAPIQUE_features/deep_learning",11,1.178977e-01
"Test01_City_D02.mp4","calc_RAPIQUE_features/temporal NSS",11,3.465909e-01
"Test01_City_D02.mp4","clipValue",33,4.734848e-04
"Test01_City_D02.mp4","convertRGBToHSI",0,NaN
"Test01_City_D02.mp4","convertRGBToLAB",22,1.278409e-02
"Test01_City_D02.mp4","convertRGBToLMS",0,NaN
"Test01_City_D02.mp4","convertRGBToYuv",0,NaN
"Test01_City_D02.mp4","convertYuvToRgb",33,3.314394e-03
"Test01_City_D02.mp4","gauDerivative",110,0
"Test01_City_D02.mp4","loadFileYuv",0,NaN
"Test01_City_D02.mp4","progressbar",1,0
"Test01_City_D02.mp4","rapique_basic_extractor",594,1.039036e-02
"Test01_City_D02.mp4","RAPIQUE_spatial_features",22,2.606534e-01
"Test01_City_D02.mp4","saveFileYuv",0,NaN
"Test01_City_D03.mp4","calc_RAPIQUE_features",1,1.109375e+01
"Test01_City_D03.mp4","calc_RAPIQUE_features/deep_learning",12,1.002604e-01
"Test01_City_D03.mp4","calc_RAPIQUE_features/temporal NSS",12,3.281250e-01
"Test01_City_D03.mp4","clipValue",36,0
"Test01_City_D03.mp4","convertRGBToHSI",0,NaN
"Test01_City_D03.mp4","convertRGBToLAB",24,1.302083e-02
"Test01_City_D03.mp4","convertRGBToLMS",0,NaN
"Test01_City_D03.mp4","convertRGBToYuv",0,NaN
"Test01_City_D03.mp4","convertYuvToRgb",36,0
"Test01_City_D03.mp4","gauDerivative",120,0
"Test01_City_D03.mp4","loadFileYuv",0,NaN
"Test01_City_D03.mp4","progressbar",1,0
"Test01_City_D03.mp4","rapique_basic_extractor",648,9.428048e-03
"Test01_City_D03.mp4","RAPIQUE_spatial_features",24,2.363281e-01
"Test01_City_D03.mp4","saveFileYuv",0,NaN
"Test01_City_D04.mp4","calc_RAPIQUE_features",1,8.843750e+00
"Test01_City_D04.mp4","calc_RAPIQUE_features/deep_learning",11,6.960227e-02
"Test01_City_D04.mp4","calc_RAPIQUE_features/temporal NSS",11,2.642045e-01
"Test01_City_D04.mp4","clipValue",33,0
"Test01_City_D04.mp4","convertRGBToHSI",0,NaN
"Test01_City_D04.mp4","convertRGBToLAB",22,1.562500e-02
"Test01_City_D04.mp4","convertRGBToLMS",0,NaN
"Test01_City_D04.mp4","convertRGBToYuv",0,NaN
"Test01_City_D04.mp4","convertYuvToRgb",33,4.734848e-04
