"video_shortname","Function_name",execution_count,exec_time_avg
"A001.mp4","calc_RAPIQUE_features",1,2.465625e+01
"A001.mp4","calc_RAPIQUE_features/deep_learning",10,4.187500e-01
"A001.mp4","calc_RAPIQUE_features/temporal NSS",10,7.187500e-01
"A001.mp4","clipValue",30,1.510417e-02
"A001.mp4","convertRGBToHSI",0,NaN
"A001.mp4","convertRGBToLAB",20,6.328125e-02
"A001.mp4","convertRGBToLMS",0,NaN
"A001.mp4","convertRGBToYuv",0,NaN
"A001.mp4","convertYuvToRgb",30,3.906250e-02
"A001.mp4","gauDerivative",100,1.562500e-04
"A001.mp4","loadFileYuv",0,NaN
"A001.mp4","progressbar",1,4.531250e-01
"A001.mp4","rapique_basic_extractor",540,1.313657e-02
"A001.mp4","RAPIQUE_spatial_features",20,5.054688e-01
"A001.mp4","saveFileYuv",0,NaN
"A002.mp4","calc_RAPIQUE_features",1,2.112500e+01
"A002.mp4","calc_RAPIQUE_features/deep_learning",10,1.609375e-01
"A002.mp4","calc_RAPIQUE_features/temporal NSS",10,6.921875e-01
"A002.mp4","clipValue",30,1.718750e-02
"A002.mp4","convertRGBToHSI",0,NaN
"A002.mp4","convertRGBToLAB",20,4.609375e-02
"A002.mp4","convertRGBToLMS",0,NaN
"A002.mp4","convertRGBToYuv",0,NaN
"A002.mp4","convertYuvToRgb",30,4.895833e-02
"A002.mp4","gauDerivative",100,1.562500e-04
"A002.mp4","loadFileYuv",0,NaN
"A002.mp4","progressbar",1,1.562500e-02
"A002.mp4","rapique_basic_extractor",540,1.183449e-02
"A002.mp4","RAPIQUE_spatial_features",20,4.531250e-01
"A002.mp4","saveFileYuv",0,NaN
"A003.mp4","calc_RAPIQUE_features",1,1.996875e+01
"A003.mp4","calc_RAPIQUE_features/deep_learning",10,1.250000e-01
"A003.mp4","calc_RAPIQUE_features/temporal NSS",10,6.484375e-01
"A003.mp4","clipValue",30,1.666667e-02
"A003.mp4","convertRGBToHSI",0,NaN
"A003.mp4","convertRGBToLAB",20,4.531250e-02
"A003.mp4","convertRGBToLMS",0,NaN
"A003.mp4","convertRGBToYuv",0,NaN
"A003.mp4","convertYuvToRgb",30,4.479167e-02
"A003.mp4","gauDerivative",100,3.125000e-04
"A003.mp4","loadFileYuv",0,NaN
"A003.mp4","progressbar",1,0
"A003.mp4","rapique_basic_extractor",540,1.140046e-02
"A003.mp4","RAPIQUE_spatial_features",20,4.398437e-01
"A003.mp4","saveFileYuv",0,NaN
"A004.mp4","calc_RAPIQUE_features",1,1.935938e+01
"A004.mp4","calc_RAPIQUE_features/deep_learning",10,1.140625e-01
"A004.mp4","calc_RAPIQUE_features/temporal NSS",10,6.281250e-01
"A004.mp4","clipValue",30,1.875000e-02
"A004.mp4","convertRGBToHSI",0,NaN
"A004.mp4","convertRGBToLAB",20,5.078125e-02
"A004.mp4","convertRGBToLMS",0,NaN
"A004.mp4","convertRGBToYuv",0,NaN
"A004.mp4","convertYuvToRgb",30,4.479167e-02
"A004.mp4","gauDerivative",100,0
"A004.mp4","loadFileYuv",0,NaN
"A004.mp4","progressbar",1,0
"A004.mp4","rapique_basic_extractor",540,1.119792e-02
"A004.mp4","RAPIQUE_spatial_features",20,4.445312e-01
"A004.mp4","saveFileYuv",0,NaN
"A005.mp4","calc_RAPIQUE_features",1,2.110938e+01
"A005.mp4","calc_RAPIQUE_features/deep_learning",10,1.093750e-01
"A005.mp4","calc_RAPIQUE_features/temporal NSS",10,6.312500e-01
"A005.mp4","clipValue",30,1.822917e-02
"A005.mp4","convertRGBToHSI",0,NaN
"A005.mp4","convertRGBToLAB",20,5.234375e-02
"A005.mp4","convertRGBToLMS",0,NaN
"A005.mp4","convertRGBToYuv",0,NaN
"A005.mp4","convertYuvToRgb",30,4.635417e-02
"A005.mp4","gauDerivative",100,0
"A005.mp4","loadFileYuv",0,NaN
"A005.mp4","progressbar",1,1.562500e-02
"A005.mp4","rapique_basic_extractor",540,1.316551e-02
"A005.mp4","RAPIQUE_spatial_features",20,5.257812e-01
"A005.mp4","saveFileYuv",0,NaN
"A006.mp4","calc_RAPIQUE_features",1,1.904688e+01
"A006.mp4","calc_RAPIQUE_features/deep_learning",10,1.234375e-01
"A006.mp4","calc_RAPIQUE_features/temporal NSS",10,6.078125e-01
"A006.mp4","clipValue",30,1.718750e-02
"A006.mp4","convertRGBToHSI",0,NaN
"A006.mp4","convertRGBToLAB",20,4.843750e-02
"A006.mp4","convertRGBToLMS",0,NaN
"A006.mp4","convertRGBToYuv",0,NaN
"A006.mp4","convertYuvToRgb",30,4.166667e-02
"A006.mp4","gauDerivative",100,1.562500e-04
"A006.mp4","loadFileYuv",0,NaN
"A006.mp4","progressbar",1,0
"A006.mp4","rapique_basic_extractor",540,1.082176e-02
"A006.mp4","RAPIQUE_spatial_features",20,4.390625e-01
"A006.mp4","saveFileYuv",0,NaN
"A007.mp4","calc_RAPIQUE_features",1,1.929688e+01
"A007.mp4","calc_RAPIQUE_features/deep_learning",10,1.125000e-01
"A007.mp4","calc_RAPIQUE_features/temporal NSS",10,5.921875e-01
"A007.mp4","clipValue",30,1.822917e-02
"A007.mp4","convertRGBToHSI",0,NaN
"A007.mp4","convertRGBToLAB",20,4.531250e-02
"A007.mp4","convertRGBToLMS",0,NaN
"A007.mp4","convertRGBToYuv",0,NaN
"A007.mp4","convertYuvToRgb",30,4.635417e-02
"A007.mp4","gauDerivative",100,3.125000e-04
"A007.mp4","loadFileYuv",0,NaN
"A007.mp4","progressbar",1,0
