"video_shortname","Function_name",execution_count,exec_time_avg
"Animation_1080P-05f8","calc_RAPIQUE_features",1,1.659062e+02
"Animation_1080P-05f8","calc_RAPIQUE_features/deep_learning",20,1.403125e+00
"Animation_1080P-05f8","calc_RAPIQUE_features/temporal NSS",20,1.873438e+00
"Animation_1080P-05f8","clipValue",60,7.526042e-02
"Animation_1080P-05f8","convertRGBToHSI",0,NaN
"Animation_1080P-05f8","convertRGBToLAB",40,4.085937e-01
"Animation_1080P-05f8","convertRGBToLMS",0,NaN
"Animation_1080P-05f8","convertRGBToYuv",0,NaN
"Animation_1080P-05f8","convertYuvToRgb",60,1.695312e-01
"Animation_1080P-05f8","gauDerivative",200,7.812500e-05
"Animation_1080P-05f8","loadFileYuv",0,NaN
"Animation_1080P-05f8","progressbar",1,9.843750e-01
"Animation_1080P-05f8","rapique_basic_extractor",1080,4.147859e-02
"Animation_1080P-05f8","RAPIQUE_spatial_features",40,1.980859e+00
"Animation_1080P-05f8","saveFileYuv",0,NaN
"Animation_1080P-0c4f","calc_RAPIQUE_features",1,1.373438e+02
"Animation_1080P-0c4f","calc_RAPIQUE_features/deep_learning",20,5.968750e-01
"Animation_1080P-0c4f","calc_RAPIQUE_features/temporal NSS",20,1.617969e+00
"Animation_1080P-0c4f","clipValue",60,6.927083e-02
"Animation_1080P-0c4f","convertRGBToHSI",0,NaN
"Animation_1080P-0c4f","convertRGBToLAB",40,3.808594e-01
"Animation_1080P-0c4f","convertRGBToLMS",0,NaN
"Animation_1080P-0c4f","convertRGBToYuv",0,NaN
"Animation_1080P-0c4f","convertYuvToRgb",60,1.674479e-01
"Animation_1080P-0c4f","gauDerivative",200,7.812500e-05
"Animation_1080P-0c4f","loadFileYuv",0,NaN
"Animation_1080P-0c4f","progressbar",1,7.968750e-01
"Animation_1080P-0c4f","rapique_basic_extractor",1080,3.883102e-02
"Animation_1080P-0c4f","RAPIQUE_spatial_features",40,1.819531e+00
"Animation_1080P-0c4f","saveFileYuv",0,NaN
"Animation_1080P-18f5","calc_RAPIQUE_features",1,1.324844e+02
"Animation_1080P-18f5","calc_RAPIQUE_features/deep_learning",20,5.367188e-01
"Animation_1080P-18f5","calc_RAPIQUE_features/temporal NSS",20,1.644531e+00
"Animation_1080P-18f5","clipValue",60,7.682292e-02
"Animation_1080P-18f5","convertRGBToHSI",0,NaN
"Animation_1080P-18f5","convertRGBToLAB",40,3.703125e-01
"Animation_1080P-18f5","convertRGBToLMS",0,NaN
"Animation_1080P-18f5","convertRGBToYuv",0,NaN
"Animation_1080P-18f5","convertYuvToRgb",60,1.708333e-01
"Animation_1080P-18f5","gauDerivative",200,7.812500e-05
"Animation_1080P-18f5","loadFileYuv",0,NaN
"Animation_1080P-18f5","progressbar",1,0
"Animation_1080P-18f5","rapique_basic_extractor",1080,3.661748e-02
"Animation_1080P-18f5","RAPIQUE_spatial_features",40,1.713672e+00
"Animation_1080P-18f5","saveFileYuv",0,NaN
"Animation_1080P-209f","calc_RAPIQUE_features",1,1.319062e+02
"Animation_1080P-209f","calc_RAPIQUE_features/deep_learning",20,5.132813e-01
"Animation_1080P-209f","calc_RAPIQUE_features/temporal NSS",20,1.653906e+00
"Animation_1080P-209f","clipValue",60,7.031250e-02
"Animation_1080P-209f","convertRGBToHSI",0,NaN
"Animation_1080P-209f","convertRGBToLAB",40,3.769531e-01
"Animation_1080P-209f","convertRGBToLMS",0,NaN
"Animation_1080P-209f","convertRGBToYuv",0,NaN
"Animation_1080P-209f","convertYuvToRgb",60,1.570313e-01
"Animation_1080P-209f","gauDerivative",200,7.812500e-05
"Animation_1080P-209f","loadFileYuv",0,NaN
"Animation_1080P-209f","progressbar",1,0
"Animation_1080P-209f","rapique_basic_extractor",1080,3.640046e-02
"Animation_1080P-209f","RAPIQUE_spatial_features",40,1.721484e+00
"Animation_1080P-209f","saveFileYuv",0,NaN
"Animation_1080P-21dd","calc_RAPIQUE_features",1,1.286250e+02
"Animation_1080P-21dd","calc_RAPIQUE_features/deep_learning",20,4.015625e-01
"Animation_1080P-21dd","calc_RAPIQUE_features/temporal NSS",20,1.582812e+00
"Animation_1080P-21dd","clipValue",60,7.057292e-02
"Animation_1080P-21dd","convertRGBToHSI",0,NaN
"Animation_1080P-21dd","convertRGBToLAB",40,3.984375e-01
"Animation_1080P-21dd","convertRGBToLMS",0,NaN
"Animation_1080P-21dd","convertRGBToYuv",0,NaN
"Animation_1080P-21dd","convertYuvToRgb",60,1.557292e-01
"Animation_1080P-21dd","gauDerivative",200,0
"Animation_1080P-21dd","loadFileYuv",0,NaN
"Animation_1080P-21dd","progressbar",1,3.125000e-02
"Animation_1080P-21dd","rapique_basic_extractor",1080,3.629919e-02
"Animation_1080P-21dd","RAPIQUE_spatial_features",40,1.732813e+00
"Animation_1080P-21dd","saveFileYuv",0,NaN
"Animation_1080P-2fbe","calc_RAPIQUE_features",1,1.284844e+02
"Animation_1080P-2fbe","calc_RAPIQUE_features/deep_learning",20,4.679687e-01
"Animation_1080P-2fbe","calc_RAPIQUE_features/temporal NSS",20,1.596875e+00
"Animation_1080P-2fbe","clipValue",60,7.031250e-02
"Animation_1080P-2fbe","convertRGBToHSI",0,NaN
"Animation_1080P-2fbe","convertRGBToLAB",40,3.734375e-01
"Animation_1080P-2fbe","convertRGBToLMS",0,NaN
"Animation_1080P-2fbe","convertRGBToYuv",0,NaN
"Animation_1080P-2fbe","convertYuvToRgb",60,1.575521e-01
"Animation_1080P-2fbe","gauDerivative",200,0
"Animation_1080P-2fbe","loadFileYuv",0,NaN
"Animation_1080P-2fbe","progressbar",1,4.687500e-02
"Animation_1080P-2fbe","rapique_basic_extractor",1080,3.645833e-02
"Animation_1080P-2fbe","RAPIQUE_spatial_features",40,1.698828e+00
"Animation_1080P-2fbe","saveFileYuv",0,NaN
"Animation_1080P-2fff","calc_RAPIQUE_features",1,1.290938e+02
"Animation_1080P-2fff","calc_RAPIQUE_features/deep_learning",20,4.046875e-01
"Animation_1080P-2fff","calc_RAPIQUE_features/temporal NSS",20,1.589844e+00
"Animation_1080P-2fff","clipValue",60,6.979167e-02
"Animation_1080P-2fff","convertRGBToHSI",0,NaN
"Animation_1080P-2fff","convertRGBToLAB",40,3.800781e-01
"Animation_1080P-2fff","convertRGBToLMS",0,NaN
"Animation_1080P-2fff","convertRGBToYuv",0,NaN
"Animation_1080P-2fff","convertYuvToRgb",60,1.619792e-01
"Animation_1080P-2fff","gauDerivative",200,2.343750e-04
"Animation_1080P-2fff","loadFileYuv",0,NaN
"Animation_1080P-2fff","progressbar",1,0
"Animation_1080P-2fff","rapique_basic_extractor",1080,3.706597e-02
"Animation_1080P-2fff","RAPIQUE_spatial_features",40,1.744141e+00
"Animation_1080P-2fff","saveFileYuv",0,NaN
"Animation_1080P-3d67","calc_RAPIQUE_features",1,1.292812e+02
"Animation_1080P-3d67","calc_RAPIQUE_features/deep_learning",20,4.109375e-01
"Animation_1080P-3d67","calc_RAPIQUE_features/temporal NSS",20,1.580469e+00
"Animation_1080P-3d67","clipValue",60,7.265625e-02
"Animation_1080P-3d67","convertRGBToHSI",0,NaN
"Animation_1080P-3d67","convertRGBToLAB",40,3.902344e-01
"Animation_1080P-3d67","convertRGBToLMS",0,NaN
"Animation_1080P-3d67","convertRGBToYuv",0,NaN
"Animation_1080P-3d67","convertYuvToRgb",60,1.614583e-01
"Animation_1080P-3d67","gauDerivative",200,7.812500e-05
"Animation_1080P-3d67","loadFileYuv",0,NaN
"Animation_1080P-3d67","progressbar",1,0
"Animation_1080P-3d67","rapique_basic_extractor",1080,3.676215e-02
"Animation_1080P-3d67","RAPIQUE_spatial_features",40,1.733984e+00
"Animation_1080P-3d67","saveFileYuv",0,NaN
"Animation_1080P-3dbf","calc_RAPIQUE_features",1,1.302344e+02
"Animation_1080P-3dbf","calc_RAPIQUE_features/deep_learning",20,4.570312e-01
"Animation_1080P-3dbf","calc_RAPIQUE_features/temporal NSS",20,1.581250e+00
"Animation_1080P-3dbf","clipValue",60,6.744792e-02
"Animation_1080P-3dbf","convertRGBToHSI",0,NaN
"Animation_1080P-3dbf","convertRGBToLAB",40,3.769531e-01
"Animation_1080P-3dbf","convertRGBToLMS",0,NaN
"Animation_1080P-3dbf","convertRGBToYuv",0,NaN
"Animation_1080P-3dbf","convertYuvToRgb",60,1.554687e-01
"Animation_1080P-3dbf","gauDerivative",200,0
"Animation_1080P-3dbf","loadFileYuv",0,NaN
"Animation_1080P-3dbf","progressbar",1,0
"Animation_1080P-3dbf","rapique_basic_extractor",1080,3.657407e-02
"Animation_1080P-3dbf","RAPIQUE_spatial_features",40,1.749219e+00
"Animation_1080P-3dbf","saveFileYuv",0,NaN
"Animation_1080P-3e01","calc_RAPIQUE_features",1,1.327812e+02
"Animation_1080P-3e01","calc_RAPIQUE_features/deep_learning",20,3.960938e-01
"Animation_1080P-3e01","calc_RAPIQUE_features/temporal NSS",20,1.674219e+00
"Animation_1080P-3e01","clipValue",60,6.822917e-02
"Animation_1080P-3e01","convertRGBToHSI",0,NaN
"Animation_1080P-3e01","convertRGBToLAB",40,3.777344e-01
"Animation_1080P-3e01","convertRGBToLMS",0,NaN
"Animation_1080P-3e01","convertRGBToYuv",0,NaN
"Animation_1080P-3e01","convertYuvToRgb",60,1.541667e-01
"Animation_1080P-3e01","gauDerivative",200,7.812500e-05
"Animation_1080P-3e01","loadFileYuv",0,NaN
"Animation_1080P-3e01","progressbar",1,0
"Animation_1080P-3e01","rapique_basic_extractor",1080,3.815104e-02
"Animation_1080P-3e01","RAPIQUE_spatial_features",40,1.803516e+00
"Animation_1080P-3e01","saveFileYuv",0,NaN
"Animation_1080P-4214","calc_RAPIQUE_features",1,1.340312e+02
