"video_shortname","Function_name",execution_count,exec_time_avg
"3.339963e+09","calc_RAPIQUE_features",1,1.659375e+01
"3.339963e+09","calc_RAPIQUE_features/deep_learning",8,4.492188e-01
"3.339963e+09","calc_RAPIQUE_features/temporal NSS",8,5.898438e-01
"3.339963e+09","clipValue",24,3.906250e-03
"3.339963e+09","convertRGBToHSI",0,NaN
"3.339963e+09","convertRGBToLAB",16,5.859375e-02
"3.339963e+09","convertRGBToLMS",0,NaN
"3.339963e+09","convertRGBToYuv",0,NaN
"3.339963e+09","convertYuvToRgb",24,7.812500e-03
"3.339963e+09","gauDerivative",80,0
"3.339963e+09","loadFileYuv",0,NaN
"3.339963e+09","progressbar",1,1.718750e-01
"3.339963e+09","rapique_basic_extractor",432,1.685475e-02
"3.339963e+09","RAPIQUE_spatial_features",16,4.755859e-01
"3.339963e+09","saveFileYuv",0,NaN
"8.171832e+09","calc_RAPIQUE_features",1,1.475000e+01
"8.171832e+09","calc_RAPIQUE_features/deep_learning",8,1.660156e-01
"8.171832e+09","calc_RAPIQUE_features/temporal NSS",8,6.718750e-01
"8.171832e+09","clipValue",24,3.255208e-03
"8.171832e+09","convertRGBToHSI",0,NaN
"8.171832e+09","convertRGBToLAB",16,4.492188e-02
"8.171832e+09","convertRGBToLMS",0,NaN
"8.171832e+09","convertRGBToYuv",0,NaN
"8.171832e+09","convertYuvToRgb",24,1.171875e-02
"8.171832e+09","gauDerivative",80,0
"8.171832e+09","loadFileYuv",0,NaN
"8.171832e+09","progressbar",1,0
"8.171832e+09","rapique_basic_extractor",432,1.779514e-02
"8.171832e+09","RAPIQUE_spatial_features",16,4.541016e-01
"8.171832e+09","saveFileYuv",0,NaN
"6.076608e+09","calc_RAPIQUE_features",1,1.376562e+01
"6.076608e+09","calc_RAPIQUE_features/deep_learning",8,1.171875e-01
"6.076608e+09","calc_RAPIQUE_features/temporal NSS",8,5.957031e-01
"6.076608e+09","clipValue",24,1.302083e-03
"6.076608e+09","convertRGBToHSI",0,NaN
"6.076608e+09","convertRGBToLAB",16,4.003906e-02
"6.076608e+09","convertRGBToLMS",0,NaN
"6.076608e+09","convertRGBToYuv",0,NaN
"6.076608e+09","convertYuvToRgb",24,8.463542e-03
"6.076608e+09","gauDerivative",80,0
"6.076608e+09","loadFileYuv",0,NaN
"6.076608e+09","progressbar",1,0
"6.076608e+09","rapique_basic_extractor",432,1.750579e-02
"6.076608e+09","RAPIQUE_spatial_features",16,4.648438e-01
"6.076608e+09","saveFileYuv",0,NaN
"8.751539e+09","calc_RAPIQUE_features",1,1.481250e+01
"8.751539e+09","calc_RAPIQUE_features/deep_learning",8,1.269531e-01
"8.751539e+09","calc_RAPIQUE_features/temporal NSS",8,6.171875e-01
"8.751539e+09","clipValue",24,3.255208e-03
"8.751539e+09","convertRGBToHSI",0,NaN
"8.751539e+09","convertRGBToLAB",16,5.078125e-02
"8.751539e+09","convertRGBToLMS",0,NaN
"8.751539e+09","convertRGBToYuv",0,NaN
"8.751539e+09","convertYuvToRgb",24,9.765625e-03
"8.751539e+09","gauDerivative",80,0
"8.751539e+09","loadFileYuv",0,NaN
"8.751539e+09","progressbar",1,0
"8.751539e+09","rapique_basic_extractor",432,1.739728e-02
"8.751539e+09","RAPIQUE_spatial_features",16,5.087891e-01
"8.751539e+09","saveFileYuv",0,NaN
"7.518774e+09","calc_RAPIQUE_features",1,1.379688e+01
"7.518774e+09","calc_RAPIQUE_features/deep_learning",8,9.570312e-02
"7.518774e+09","calc_RAPIQUE_features/temporal NSS",8,5.312500e-01
"7.518774e+09","clipValue",24,1.953125e-03
"7.518774e+09","convertRGBToHSI",0,NaN
"7.518774e+09","convertRGBToLAB",16,5.175781e-02
"7.518774e+09","convertRGBToLMS",0,NaN
"7.518774e+09","convertRGBToYuv",0,NaN
"7.518774e+09","convertYuvToRgb",24,5.208333e-03
"7.518774e+09","gauDerivative",80,0
